,name,MF,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH,vol
0,Methanobacterium_alcaliphilum,0.966796875,9.452653237025815e-13,9.777289812842863e-13,3.246034276477446e-14,99_280520,Methanobacteriumalcaliphilum33_280520,310.0,8.6,3.2073697497743293e-18
1,Methanobacterium_arcticum,0.97808837890625,1.3980470339188975e-13,1.4293667771436642e-13,3.1318471949460974e-15,100_280520,Methanobacteriumarcticum48_280520,310.0,7.0,7.974245727744716e-19
2,Methanobacterium_bryantii,0.9403076171875,2.5767507967776185e-13,2.7403274733483383e-13,1.6357357671213448e-14,101_280520,Methanobacteriumbryantii39_280520,310.0,6.95,2.969786805346601e-18
3,Methanobacterium_congolense,0.99237060546875,1.783282186261227e-12,1.7969921483303982e-12,1.3687082613355135e-14,102_280520,Methanobacteriumcongolense44_280520,312.5,7.2,9.542587685278995e-19
4,Methanobacterium_espanolae,0.9698901176452637,1.0015313785095178e-12,1.0326235521824616e-12,3.1073923898237253e-14,103_280520,Methanobacteriumespanolae66_280520,308.0,5.9,3.0159289474462012e-18
5,Methanobacterium_ferruginis,0.995758056640625,2.896487643108749e-13,2.908826721302752e-13,1.2332342756150592e-15,104_280520,Methanobacteriumferruginis39_280520,313.0,6.75,2.1205750411731104e-19
6,Methanobacterium_kanagiense,0.9888458251953125,2.0191225363001033e-13,2.0418982260468107e-13,2.2772499301822084e-15,105_280520,Methanobacteriumkanagiense66_280520,313.0,8.0,4.681463927700914e-19
7,Methanobacterium_movens,0.9853668212890625,1.5176284269133377e-13,1.540165950511676e-13,2.2534117130762315e-15,106_280520,Methanobacteriummovens43_280520,309.5,7.5,5.566509483079413e-19
8,Methanobacterium_palustre,0.986572265625,3.162223930304653e-13,3.205263355240747e-13,4.303743182118673e-15,107_280520,Methanobacteriumpalustre40_280520,308.0,7.0,7.363107781851077e-19
9,Methanobacterium_petrolearium,0.99005126953125,6.760003225592615e-14,6.827932485550175e-14,6.792176133591432e-16,108_280520,Methanobacteriumpetrolearium40_280520,308.0,6.5,2.5093471320548467e-19
10,Methanobacterium_thermaggregans,0.9965372085571289,8.581486414198548e-12,8.611305569436341e-12,2.974555513974858e-14,109_280520,Methanobacteriumthermaggregans66_280520,338.0,7.25,7.539822368615503e-19
11,Methanobacterium_veterum,0.98223876953125,1.3820242044551744e-13,1.4070145135023662e-13,2.4988220534420513e-15,110_280520,Methanobacteriumveterum59_280520,301.0,7.1,7.093127163183204e-19
12,Methanobrevibacter_acididurans,0.9990234375,3.7138311502711816e-13,3.7174614837514076e-13,3.61416378880246e-16,111_280520,Methanobrevibacteracididurans39_280520,308.0,6.0,5.026548245743668e-20
